6755;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-24 15:50:00+00:00;2013
6756;200 FEET FROM TOWNE VILLAGE DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-24 20:41:45+00:00;2013
6757;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-19 02:51:28+00:00;2013
6758;200 FEET FROM 2310 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-24 22:42:47+00:00;2013
6760;.3 MILES FROM GREEN HOPE SCHOOL RD;SMOOTH ASPHALT;SLUSH;DAYLIGHT;FREEZING RAIN;2013-01-25 17:28:00+00:00;2013
6762;480 FEET FROM GREEN HOPE SCHOOL ROAD;SMOOTH ASPHALT;SLUSH;DAYLIGHT;FREEZING RAIN;2013-01-25 17:20:00+00:00;2013
6769;CARY;;;;CLOUDY;2013-01-20 18:38:29+00:00;2013
6773;300 FEET FROM CHAPEL HILL RD;SMOOTH ASPHALT;ICE;DAYLIGHT;FREEZING RAIN;2013-01-25 17:28:00+00:00;2013
6778;25 FEET FROM NOTTINGHAM DR;COARSE ASPHALT;ICE;DAYLIGHT;CLOUDY;2013-01-26 17:07:00+00:00;2013
6780;40 FEET FROM MORRISVILLE CARPENTER RD;SMOOTH ASPHALT;ICE;DAYLIGHT;CLOUDY;2013-01-26 14:56:06+00:00;2013
6797;250 FEET FROM PIERSIDE DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-27 18:27:49+00:00;2013
6800;CARY;SMOOTH ASPHALT;WET;UNKNOWN;CLOUDY;2013-01-28 18:46:10+00:00;2013
6803;400 FEET FROM 2041 WALNUT ST;CONCRETE;WET;DAYLIGHT;CLEAR;2013-01-26 14:04:18+00:00;2013
6804;400 FEET FROM 1805 WALNUT ST;COARSE ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-01-29 03:29:00+00:00;2013
6807;50 FEET FROM NC 55 HWY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-01-23 03:54:00+00:00;2013
6808;20 FEET FROM TRYON ROAD;SMOOTH ASPHALT;DRY;DUSK;CLEAR;2013-01-29 22:40:45+00:00;2013
6813;10 FEET FROM NOTTINGHAM DR;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-01-27 03:32:00+00:00;2013
6818;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-29 13:00:01+00:00;2013
6820;0.07 MILES FROM WALNUT ST;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLOUDY;2013-01-30 22:58:20+00:00;2013
6837;.1 MILES FROM TEN TEN RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-31 19:32:50+00:00;2013
6838;900 FEET FROM 2370 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-31 22:17:45+00:00;2013
6839;200 FEET FROM NW CARY PKWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-31 00:03:10+00:00;2013
6841;150 FEET FROM US 64 HWY E;SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2013-02-01 01:38:34+00:00;2013
6842;.1 MILES FROM PVA OF 1151 TRYON VILLAGE DR;SMOOTH ASPHALT;DRY;DAWN;CLOUDY;2013-02-01 11:46:24+00:00;2013
6849;CARY;SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2013-02-03 03:06:00+00:00;2013
6852;10 FEET FROM CHAPEL HILL RD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-02 00:13:10+00:00;2013
6857;250 FEET FROM KILDAIRE FARM RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-02 22:17:06+00:00;2013
6858;100 FEET FROM BARNES ST;COARSE ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2013-02-02 05:49:00+00:00;2013
6859;30 FEET FROM KILDAIRE FARM RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-01 20:54:22+00:00;2013
6861;75 FEET FROM US 64 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-02 01:16:32+00:00;2013
6862;45 FEET FROM CAMDEN YARDS WAY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-02 15:03:00+00:00;2013
6863;400 FEET FROM 2430 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-02-03 16:30:00+00:00;2013
6866;50 FEET FROM 102 FAIRGROVE WAY;CONCRETE;DRY;DAYLIGHT;CLEAR;2013-02-04 16:33:00+00:00;2013
6867;.10 MILES FROM CANYON RUN;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-04 14:00:04+00:00;2013
6871;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-04 12:13:09+00:00;2013
6872;5 FEET FROM PVA OF 6770 MCCRIMMON PKWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-05 12:12:20+00:00;2013
6874;499 FEET FROM 1105 WALNUT ST;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-05 15:54:00+00:00;2013
6877;15 FEET FROM DRY AVE;CONCRETE;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-06 07:27:39+00:00;2013
6880;75 FEET FROM 4101 NC 55 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-06 01:29:59+00:00;2013
6889;CARY;;;;CLOUDY;2013-02-06 18:31:43+00:00;2013
6890;300 FEET FROM 10000 GREEN LEVEL CHURCH RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-02-06 18:39:44+00:00;2013
6896;250 FEET FROM US 64 HWY;SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2013-02-06 23:17:35+00:00;2013
6922;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-08 21:38:04+00:00;2013
6925;.2 MILES FROM 1105 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-10 04:26:00+00:00;2013
6926;20 FEET FROM 1260 NW MAYNARD RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-09 16:45:00+00:00;2013
6943;100 FEET FROM 1931 HIGH HOUSE RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-12 18:03:54+00:00;2013
6947;.02 MILES FROM N HARRISON AVE;SMOOTH ASPHALT;WET;DAWN;RAIN;2013-02-13 12:25:52+00:00;2013
6952;670 FEET FROM PARKMAN GRANT DR;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-04 17:18:00+00:00;2013
6957;.10 MILES FROM SE MAYNARD RD;SMOOTH ASPHALT;WET;DARK - LIGHTED ROADWAY;CLOUDY;2013-02-13 23:22:04+00:00;2013
6963;20 FEET FROM OWL TOWN RD20;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-13 18:04:46+00:00;2013
6965;10 FEET FROM WRENN DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-14 12:31:08+00:00;2013
6974;30 FEET FROM MEETING ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-02-14 19:07:06+00:00;2013
6978;75 FEET FROM 2234 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-15 17:17:00+00:00;2013
